oversized knit sweater, pleated midi skirt, knee-high boots
blazer, straight-leg jeans, loafers
cashmere turtleneck, leather pants, ankle boots
trench coat, wide-leg trousers, sneakers
cardigan, slip dress, heeled booties
denim jacket, corduroy pants, combat boots
plaid shacket, leggings, chunky sneakers
faux fur coat, silk camisole, tailored trousers
sweatshirt, joggers, baseball cap and trainers
long coat, knitted dress, leather boots
cropped tweed jacket, high-waisted wide-leg pants, structured tote bag
turtleneck bodysuit, a-line mini skirt, over-the-knee boots
chunky knit cardigan, satin slip skirt, delicate gold necklace
leather moto jacket, slim-fit black jeans, leather belt
crewneck sweater, pleated maxi skirt, scarf
button-down shirt, dark-wash denim shorts, tall socks and loafers
oversized hoodie, denim overalls, beanie
knit polo shirt, chinos, classic watch
flannel shirt, distressed jeans, ankle boots
sleeveless sweater vest, tailored pants, hoop earrings
